brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,source,thumb,type,url
Danby,,https://www.danby.com/products/freezers/dufm085a4wdd-6/?o=pdf,,DUFM085A4WDD-6,,Freezers,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2016/05/DUFM085A2WDD1_Front_Propped-606x903.jpg,Product Specifications,https://www.danby.com/products/freezers/dufm085a4wdd-6/
Danby,,https://www.danby.com/wp-content/uploads/2019/10/DDR030EBWDB_DDR040EBWDB_DDR050EBWDB_EFSOM_20190913-1.pdf,,DDR050EBWDB,,Dehumidifiers,en,Climate Control,danby.com,https://www.danby.com/wp-content/uploads/2020/07/DDR050EBWDB_Right-606x766.jpg,Owner's Manual,https://www.danby.com/products/dehumidifiers/ddr050ebwdb/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/Dehumidifiers_QuickStart_EB-Series.pdf,,DDR050EBWDB,,Dehumidifiers,en,Climate Control,danby.com,https://www.danby.com/wp-content/uploads/2020/07/DDR050EBWDB_Right-606x766.jpg,Setup Guide,https://www.danby.com/products/dehumidifiers/ddr050ebwdb/
Danby,,https://www.danby.com/products/dehumidifiers/ddr050ebwdb/?o=pdf,,DDR050EBWDB,,Dehumidifiers,en,Climate Control,danby.com,https://www.danby.com/wp-content/uploads/2020/07/DDR050EBWDB_Right-606x766.jpg,Product Specifications,https://www.danby.com/products/dehumidifiers/ddr050ebwdb/
Danby,,https://www.danby.com/wp-content/uploads/2020/08/DUFM085A4WDD_DUFM085A4WDD-6_DUFM085A4BSLDD_DUFM085A4BSLDD-6_EFSOM_20201008.pdf,,DUFM085A4BSLDD-6,,Freezers,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2018/04/DUFM085A4BSLDD_Right_Propped-606x758.jpg,Owner's Manual,https://www.danby.com/products/freezers/dufm085a4bsldd-6/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DUFM085A4BSLDD-6-Energy-Card-1.pdf,,DUFM085A4BSLDD-6,,Freezers,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2018/04/DUFM085A4BSLDD_Right_Propped-606x758.jpg,Energy Guide,https://www.danby.com/products/freezers/dufm085a4bsldd-6/
Danby,,https://www.danby.com/products/freezers/dufm085a4bsldd-6/?o=pdf,,DUFM085A4BSLDD-6,,Freezers,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2018/04/DUFM085A4BSLDD_Right_Propped-606x758.jpg,Product Specifications,https://www.danby.com/products/freezers/dufm085a4bsldd-6/
Danby,,https://www.danby.com/wp-content/uploads/2019/10/DDR050BJPWDB_DDR050BJPWDB-6_EFSOM_20191023.pdf,,DDR050BJPWDB-6,,Dehumidifiers,en,Climate Control,danby.com,https://www.danby.com/wp-content/uploads/2019/10/DDR050BJPWDB_Front-606x878.jpg,Owner's Manual,https://www.danby.com/products/dehumidifiers/ddr050bjpwdb-6/
Danby,,https://www.danby.com/wp-content/uploads/2020/05/Dehumidifiers_QuickStart_DDR050BJPWDB.pdf,,DDR050BJPWDB-6,,Dehumidifiers,en,Climate Control,danby.com,https://www.danby.com/wp-content/uploads/2019/10/DDR050BJPWDB_Front-606x878.jpg,Setup Guide,https://www.danby.com/products/dehumidifiers/ddr050bjpwdb-6/
Danby,,https://www.danby.com/products/dehumidifiers/ddr050bjpwdb-6/?o=pdf,,DDR050BJPWDB-6,,Dehumidifiers,en,Climate Control,danby.com,https://www.danby.com/wp-content/uploads/2019/10/DDR050BJPWDB_Front-606x878.jpg,Product Specifications,https://www.danby.com/products/dehumidifiers/ddr050bjpwdb-6/
