brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,source,thumb,type,url
Danby,,https://www.danby.com/wp-content/uploads/2015/10/DTT100A1WDB-EFSOM-V3-DM-May.16.13.pdf,,9.9 lb Washing Machine,,Laundry,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/Large_DTT100A1WDB_right3-606x758.jpg,Owner's Manual,https://www.danby.com/en-us/products/laundry-en-us/dtt100a1wdb/
Danby,,https://www.danby.com/en-us/products/laundry-en-us/dtt100a1wdb/?o=pdf,,9.9 lb Washing Machine,,Laundry,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/Large_DTT100A1WDB_right3-606x758.jpg,Product Specifications,https://www.danby.com/en-us/products/laundry-en-us/dtt100a1wdb/
Danby,,https://www.danby.com/fr/products/refrigeration-compact/sbcr017a1bsl/?o=pdf,,Sunbeam 1.7  Réfrigération Compact,,Reigeration Compact,,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/Medium-SBCR017A1BSL.jpg,Caractéristiques du produit,https://www.danby.com/fr/products/refrigeration-compact/sbcr017a1bsl/
Danby,,https://www.danby.com/fr/products/divertissement/461-9923/?o=pdf,,Kenmore Elite Refroidisseurs de boisson,,Divertissement,,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/Medium-461.99230.jpg,Caractéristiques du produit,https://www.danby.com/fr/products/divertissement/461-9923/
Danby,,https://www.danby.com/fr/products/refrigeration-compact/scr054bls/?o=pdf,,Simplicity 1.7 pi3 Réfrigération Compact,,Reigeration Compact,,,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Caractéristiques du produit,https://www.danby.com/fr/products/refrigeration-compact/scr054bls/
brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,source,thumb,type,url
Danby,,https://www.danby.com/fr/products/climatiseurs-de-fenetre/dcr033a2bdb/?o=pdf,,3.3 pi3 Réfrigération Compact Climatiseurs de fenêtre,,Climatiseurs De Fenetre,,,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Caractéristiques du produit,https://www.danby.com/fr/products/climatiseurs-de-fenetre/dcr033a2bdb/
Danby,,https://www.danby.com/fr/products/refrigerateurs-pour-petites-surfaces/dff311wlhdd/?o=pdf,,Designer 11  pi3 Réfrigérateurs pour petites surface,,Reigerateurs Pour Petites Surfaces,,,danby.com,https://www.danby.com/wp-content/uploads/2015/10/proMed-DFF311WLHDD_closed1.jpg,Caractéristiques du produit,https://www.danby.com/fr/products/refrigerateurs-pour-petites-surfaces/dff311wlhdd/
Danby,,https://www.danby.com/fr/products/refrigeration-compact/dcrm48sldd/?o=pdf,,Designer 1.7 pi3 Réfrigération Compact,,Reigeration Compact,,,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Caractéristiques du produit,https://www.danby.com/fr/products/refrigeration-compact/dcrm48sldd/
Danby,,https://www.danby.com/fr/products/refrigeration-compact/scr432bl/?o=pdf,,Simplicity Réfrigération Compact,,Reigeration Compact,,,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Caractéristiques du produit,https://www.danby.com/fr/products/refrigeration-compact/scr432bl/
Danby,,https://www.danby.com/fr/products/refrigeration-compact/scr054bls/?o=pdf,,Simplicity 1.7 pi3 Réfrigération Compact,,Reigeration Compact,,,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Caractéristiques du produit,https://www.danby.com/fr/products/refrigeration-compact/scr054bls/
Danby,,https://www.danby.com/fr/products/refrigeration-compact/scr050bl/?o=pdf,,Simplicity Réfrigération Compact,,Reigeration Compact,,,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Caractéristiques du produit,https://www.danby.com/fr/products/refrigeration-compact/scr050bl/
